コメントID,タイプ,親コメントID,投稿者名,投稿日時,いいね数,コメント本文,投稿者プロファイルURL,動画URL
Ugz24gCzv5NlEazYzeJ4AaABAg.APNglrg80LRAPSvToeCy8V,Reply,Ugz24gCzv5NlEazYzeJ4AaABAg,@宇高多城代坂Do太郎,2025-11-13T09:01:39Z,5,"今でも長火鉢を使って剣客商売シリーズに出てくる料理を作ったりしてる動画がありますね
根深汁とか美味そうだった",https://yt3.ggpht.com/e_Vo7pdlonqAe-6VktOlcgqYRFXcoFhemyrolmWP-qAtT2T5nvFoMSkkQabv6tcVyIkXAV_D9uo=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
Ugw06E45cmNmorj0Sud4AaABAg,Thread,,@mkt314159,2026-01-08T06:59:18Z,0,"ボッチ男（俺）　　　「すいませーん、ボッチ飯のメニューありますか？」
ウェイトレス　　　 「は？？」",https://yt3.ggpht.com/ytc/AIdro_n1aHOKCTieIdDjOUHZOFP9TT2Bt1dOpfOsCPrXBY2z_ag=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgwOIMEjiU4xEActXih4AaABAg,Thread,,@モももモ,2025-11-07T04:40:22Z,14,"そうそうこういうのだよ
制作チームはこの人のを参考にして作ってくれ",https://yt3.ggpht.com/ytc/AIdro_koDsUxpOteda_FIxPMiDN-stMhno4YZw7fqVU08IP3VSo=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgwVUvyRV_Xm88SABfF4AaABAg,Thread,,@鈴木正勝-j4s,2025-11-08T10:20:50Z,1,鶏の胸肉、タマネギ🧅、ニンジン🥕ジャガイモ🥔、ブロッコリー🥦とハウス〇〇と牛乳ってタダのクリームシチュー🍲じゃねえか😂,https://yt3.ggpht.com/ytc/AIdro_nMJCCFmTj5pK-SH-624CcJdOVM8GM5IVe6yQYCOR0OiLY=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgyEQI5nX7NEFfCKNfx4AaABAg,Thread,,@jenniewwww,2025-11-08T11:18:21Z,9,"白菜とキノコがありゃ充分・・・と思ったが何かが足りない
かと言って肉は違う

この動画で豆腐の重要性を教えて貰いました
今度豆腐買ってこよー",https://yt3.ggpht.com/ytc/AIdro_n4O3YiPq3TXVrESeBb6jj5wkEGDRd0mWZcAMyUfqhC1v8=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgyP2eTL3jD7a9Lf9SR4AaABAg,Thread,,@cci4560,2025-11-07T12:13:33Z,0,東北より寒いだと？,https://yt3.ggpht.com/ytc/AIdro_li1kkYDqaGiAAWQN6r79K4xxgvuC9KKmwUkcSVfs27ZUbAjgffmZj1vWSvnQ0WcMrCzqI=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgzED8uNup0BEnK6j1t4AaABAg,Thread,,@カスミ-x6i,2025-11-07T04:04:34Z,13,"7:15 
味噌玉を使うのに火を使わなくて良いと言うがポットもT-falも無い江戸時代なら湯を作るのに火を使うのでは？",https://yt3.ggpht.com/ytc/AIdro_nHERbHx4kPGumz0YSVplKZtXLyGtimfWAnKxFz-8JUz1bpITxPYD2bZdUe7mNmIR92NIag=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgzED8uNup0BEnK6j1t4AaABAg.APCwhd4MyE0APEJ2klKaTF,Reply,UgzED8uNup0BEnK6j1t4AaABAg,@ゆっけ-k6b,2025-11-07T16:47:48Z,17,"「燃料を圧縮できる」とのことなので火を完全に使わないのはもちろん無理でしょうけど、
お湯を沸かすだけなら火鉢の置き火でなんとかなるんじゃないでしょうか",https://yt3.ggpht.com/ytc/AIdro_m8RsrogZuZ5Fz-9DhBJLT7Q01vhs6IikszuiTAomU=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgxJ8u7BKaRVoVocFuB4AaABAg,Thread,,@カピバラ-c1m,2025-11-10T12:08:51Z,1,どうやって火を炊かずにお湯を沸かすのか？,https://yt3.ggpht.com/ytc/AIdro_ke6JZoNauF1Bi5xKignvra67GwDrOFiRrQZ1Nh4Ea8PxQ=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgxQscZmn2ynQ4ZgM_h4AaABAg,Thread,,@猫吉-o5w,2025-11-29T09:18:03Z,2,"所詮、今も昔も金・金・金なのである😫
辰五郎ドンマイ😅",https://yt3.ggpht.com/ytc/AIdro_nEXErB8iDobHAzF8briRfCuh1VNww-_ojzbnU3NlEVQB8=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgwF0aec8B_LK66wzXh4AaABAg,Thread,,@未明昨夜-g7b,2026-01-12T11:39:40Z,0,だけど、独身職人の朝は早いから、そんな毎日はムリかなと湯気🍲の向こうから思いました😢,https://yt3.ggpht.com/ytc/AIdro_nJcEDcr38Q0KjSJL5pfRfVjF7ZgvVghIfq2LfLG8ZgL_PJsmY=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgwF0aec8B_LK66wzXh4AaABAg.ARshFd6R3srAS1vFpJdwI3,Reply,UgwF0aec8B_LK66wzXh4AaABAg,@tokiwokakeru.zundamon,2026-01-16T10:54:26Z,1,職人の朝は早いのだ！🫛,https://yt3.ggpht.com/RHdmh52IMNOODaZ42aXXydVjlWK7yVfyAR_BN5opV2UYUNcUfqEfTpYuIOEaodtNjTH50elmB6Y=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
Ugx9Uj5A0pEaD2QWKmZ4AaABAg,Thread,,@SEMchannel5,2025-11-07T12:15:41Z,0,溶かすときにかき混ぜたら豆腐がボロボロになりそうだし、味噌玉入れてから豆腐入れたほうが良いかもね。,https://yt3.ggpht.com/ytc/AIdro_magNLNPlyQKnO8PeX7C99TYrfQJ3Yh48evN32i3n2wcA=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
Ugx9Uj5A0pEaD2QWKmZ4AaABAg.APDouh_apIkAPE-ZKQBQeC,Reply,Ugx9Uj5A0pEaD2QWKmZ4AaABAg,@高山まゆのり,2025-11-07T13:57:29Z,4,江戸時代の豆腐は高野豆腐ほどじゃないけど、形崩れしにくいんですよ。だから腹持ちもいい🎉,https://yt3.ggpht.com/ytc/AIdro_lbpfOC9I8qLiOVcpkqVGISdiSIIKblr7zkprr7zVhB1cV6PVM=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgzaCZ_p23wAKj671UF4AaABAg,Thread,,@うに-c8m9p,2025-11-09T08:18:34Z,1,火使わずお湯わかせるんか？,https://yt3.ggpht.com/ytc/AIdro_nEqr7ekqYdHBLwfsx4Dis6vPP8kEaTiMbz8as9IYCokw=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgzoFzkbG0OzCAT71a14AaABAg,Thread,,@42506791,2025-11-08T13:15:20Z,6,ずんだもんが女って事ほとんどの人が忘れてるよなｗ,https://yt3.ggpht.com/ytc/AIdro_kJaaNJtKH5e1onDEC__tusup4SYmSzjU2957Ty5zQ=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgzlY0E6d_B3WPz5tAx4AaABAg,Thread,,@hirNwnw,2025-11-07T22:55:05Z,2,お湯湧かすのに火いらないの？,https://yt3.ggpht.com/i-F7Q4OTDIkBn4FAXxNCKyo_NEtd29wXWJsNTxEP93wHfm4KlNnLOJwq5tw_s0QAp6hCS8Rl2A=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgzdVT9YqRJtWwQ8UwZ4AaABAg,Thread,,@アゴヒゲバラード,2025-11-07T23:31:47Z,2,"鍋ではないけど、オートミールや麦飯で味噌茶粥か味噌茶雑炊にしてます。
オートミール　煎り米ぬかパウダー　玉ねぎ皮パウダー　魚粉か鰹節
無添加味噌(麦味噌　米味噌　赤味噌　合わせ味噌をローテ)　卵入れて　緑茶　麦茶　ルイボスティー　黒豆茶　ウーロン茶　ほうじ茶等気分で変えてレンチン
仕上げに白ごまふりかけます。
水で作るよりお茶の渋みや旨味　甘味がマッチして美味しくてハマってるし
格安で栄養とれて身体温まるしバリエーションも毎日変えれるし飽きない
ここにカレー粉や生姜パウダー　黒胡椒　七味入れても味変出来る
これに納豆や豆腐　たまに魚の缶詰をおかずにします。",https://yt3.ggpht.com/ytc/AIdro_ndMySoKbBxo0zZi1cdBMoN4l1dBTYiMfa88HhLevIIyJQ=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgwnWqOyNF28Vw8eP_t4AaABAg,Thread,,@OSM0114,2025-11-07T13:46:54Z,1,ひとこと物申す！　味噌玉をかまどが要らないってアゲテルけどお湯はどーすんだ（もん）魔法瓶がない時代だぜ　水で溶いたら身体があったまらないぜ,https://yt3.ggpht.com/ytc/AIdro_lbpy5iEGzhSO3OYs7ym4pZuAHmB2b1KrGQUvwCkGA=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgwnWqOyNF28Vw8eP_t4AaABAg.APDzLmrKtSDAPI6lBu3pb9,Reply,UgwnWqOyNF28Vw8eP_t4AaABAg,@nanaha7781,2025-11-09T04:17:22Z,5,暖房用の長火鉢や小型火鉢の手焙りなんかにヤカンを乗せて、煙草を飲んだりお湯を沸かしてお茶を飲む（兼加湿器）くらいは長屋でもやってましたから,https://yt3.ggpht.com/ytc/AIdro_mWSiSd_RuQa0DIu7Gug_7Lzn9s8IjVMajCO5bOS5REKA=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgyZDmZXZ23NMn9uFMV4AaABAg,Thread,,@takahashikeita-w4j,2025-11-08T10:09:57Z,2,"すみません。
江戸時代にマグロとか東京で釣れたんですか？
しかも庶民の口に入れる事はできたんですか？",https://yt3.ggpht.com/ytc/AIdro_mXKod6Hp66bK54P7W92nqNHUD-ZEWrULsIBoOGr9H_rO5JMPGwLCZzZF38Z-jlxlWHYg=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgyZDmZXZ23NMn9uFMV4AaABAg.APGAJdeoZqdAPGsKAdquUi,Reply,UgyZDmZXZ23NMn9uFMV4AaABAg,@K.hayashi-d6k,2025-11-08T16:43:14Z,5,"数は少ないと思いますが三浦半島辺りから流通してたのかもね、実際、青ものでカツオなどは初ガツオとして江戸っ子の人気でした。
江戸時代になるとインフラも整って海産物もそれなりに流通していたはず、東京の芝浦では芝海老といって海老が大量に取れ、アサリやシジミも取り放題。
東京湾奥にまでいろんな魚が獲れた様子ですね😮😮😮",https://yt3.ggpht.com/ytc/AIdro_n4mkDvVcx9VO1i6RotBXhUDiuYrqEzjkOifsBbi5B29w=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgyZDmZXZ23NMn9uFMV4AaABAg.APGAJdeoZqdAPX9E0t2Xgr,Reply,UgyZDmZXZ23NMn9uFMV4AaABAg,@ちゃめ太郎-h6v,2025-11-15T00:27:32Z,4,"マグロと言ってもクロマグロとかじゃ無いからね。
しかも冷蔵庫みたいなものも無いからマグロのトロは足が速くて捨てるような部位だったらしいよ。",https://yt3.ggpht.com/oLuMrEN6B9vikMyvJ1kMbx6Jkj3jhd1kClDs0iTprEFSq6bSTp50ayh4bmuVLWhtpYh4zesxAg=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgyZDmZXZ23NMn9uFMV4AaABAg.APGAJdeoZqdAQI4CCTrxyR,Reply,UgyZDmZXZ23NMn9uFMV4AaABAg,@コンタミ-o5e,2025-12-04T00:26:23Z,2,江戸時代のマグロはどっちかって言うと嫌われてて庶民しか食わんかったのよ。冷凍・冷蔵技術が一般化するまであんな腐りやすい魚は下賤の者の食い物だった。,https://yt3.ggpht.com/ytc/AIdro_lK-YmsUp8UCgdsO3Q6FhltDfqqiSyztm9i0OxIfHs=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgwSUmM1buthKeB9qL14AaABAg,Thread,,@tomo53930,2025-11-07T12:22:41Z,3,でどうやってお湯を用意するんだ？,https://yt3.ggpht.com/ytc/AIdro_ntBtooB65PRBNmsQhQBvE8xh4D115Jjjdmu_j3_KnyBw=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgwSUmM1buthKeB9qL14AaABAg.APDphvPcSkeAPFmhdMDPWO,Reply,UgwSUmM1buthKeB9qL14AaABAg,@大橋ゆう,2025-11-08T06:34:54Z,3,ヘソで沸かすくらいしか思い浮かばん,https://yt3.ggpht.com/ytc/AIdro_lT20FTA4Mi_eDzAwOqsij_F0e66RDR_YUMbKE-v425pCw=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
Ugw-W44zKCHGxlgvaMJ4AaABAg,Thread,,@ササクロ,2026-01-16T10:37:59Z,0,おからは現在では最高レベルの健康食品。昔の時代は違った、おからより豆腐的な。でもおからを食して飢餓と健康を保持していた時代は過去から。,https://yt3.ggpht.com/ytc/AIdro_kl5DflvSAt5cCateTrSwaLn4GBN9r6Kpu3KbWBVHt3T53dfl0=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
Ugw-W44zKCHGxlgvaMJ4AaABAg.AS1tNNgG6tjAS1uiLwxiwU,Reply,Ugw-W44zKCHGxlgvaMJ4AaABAg,@tokiwokakeru.zundamon,2026-01-16T10:49:43Z,0,おから、とっても健康的なのだ！🫛,https://yt3.ggpht.com/RHdmh52IMNOODaZ42aXXydVjlWK7yVfyAR_BN5opV2UYUNcUfqEfTpYuIOEaodtNjTH50elmB6Y=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
Ugw-W44zKCHGxlgvaMJ4AaABAg.AS1tNNgG6tjASqL1ErIJNS,Reply,Ugw-W44zKCHGxlgvaMJ4AaABAg,@熊木圭司,2026-02-05T10:09:38Z,0,14:19,https://yt3.ggpht.com/ytc/AIdro_lbpfOC9I8qLiOVcpkqVGISdiSIIKblr7zkprr7zVhB1cV6PVM=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
Ugw-W44zKCHGxlgvaMJ4AaABAg.AS1tNNgG6tjASqL2636dxW,Reply,Ugw-W44zKCHGxlgvaMJ4AaABAg,@熊木圭司,2026-02-05T10:09:45Z,0,14:19,https://yt3.ggpht.com/ytc/AIdro_lbpfOC9I8qLiOVcpkqVGISdiSIIKblr7zkprr7zVhB1cV6PVM=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
Ugw-W44zKCHGxlgvaMJ4AaABAg.AS1tNNgG6tjASqL3EgdCiQ,Reply,Ugw-W44zKCHGxlgvaMJ4AaABAg,@熊木圭司,2026-02-05T10:09:54Z,0,14:19,https://yt3.ggpht.com/ytc/AIdro_lbpfOC9I8qLiOVcpkqVGISdiSIIKblr7zkprr7zVhB1cV6PVM=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
Ugw-W44zKCHGxlgvaMJ4AaABAg.AS1tNNgG6tjASqL4w8WYb0,Reply,Ugw-W44zKCHGxlgvaMJ4AaABAg,@熊木圭司,2026-02-05T10:10:08Z,0,14:19 14:47,https://yt3.ggpht.com/ytc/AIdro_lbpfOC9I8qLiOVcpkqVGISdiSIIKblr7zkprr7zVhB1cV6PVM=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgxMJLY4gDYSXjTQkF54AaABAg,Thread,,@嘉乃佐,2025-11-07T05:51:27Z,4,100年前だと、大正14年でしょ？,https://yt3.ggpht.com/ytc/AIdro_kTUFOyGfqWDvqcYrM4nZwFNUJBKhOA_j2c_dATGZkgfW8=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgzsAXC0xhLgFuq2Z_54AaABAg,Thread,,@雷電-g7v,2025-11-08T09:39:02Z,6,"江戸時代までは家督を継ぐ者以外は放っておかれて結婚しなくても何も言われなかったけど、
明治の富国強兵策で半強制的に結婚させて「産めよ殖やせよ国の為」が終戦まで続いたんですよね。
周囲から圧を掛けられない限り、現在日本の非婚化と少子化が自然な成り行きだと思う。",https://yt3.ggpht.com/ytc/AIdro_lv_G4grv6nJnjJpgmZsmL9xa99Nw53Ap0l73A_5odGZQ=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
Ugx350KUBzYSv3RGnIh4AaABAg,Thread,,@せがた三四郎-i2l,2025-11-08T08:15:12Z,2,"ずんだもん
髪型可愛らしい😊",https://yt3.ggpht.com/Kq3ptR62hDF_piYBBS9BYKYppQzKkv4uE5Gl7hHDHOnvVtraTo7FsXpKO5MgiYQccz_Zob8J=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgyPKaRhK_scPo9pb1h4AaABAg,Thread,,@大月十郎,2025-11-08T03:53:04Z,0,セリフまともになったけど、スープとかカタカナはやめろや！,https://yt3.ggpht.com/ytc/AIdro_mAX1CfhVnRpZsI7B4GOWo7xfcSOWh8l3jCJH6qKFg=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgzoLpXKNCMeZMPAyXR4AaABAg,Thread,,@conekeiba,2025-11-10T12:22:16Z,0,江戸時代ずんだもんだけはマジで見た目がキショいよね,https://yt3.ggpht.com/KSzw_AxNbn6gKbfy14X2JETZ3my5qEFSwTPjd3SBJNQGHNy2qLXCg0PmYONvGJMaGPP5mrde3A=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgwLAOc9Dw3BmvybsGR4AaABAg,Thread,,@mikazuki230,2025-11-08T04:14:48Z,0,"生粋の日本人は梅干しがたくさん有ればどんぶり飯を食える‼️
梅干しは適度な塩気や赤紫蘇のはんなり酸味で食欲を増加させてくれます‼️
梅干しは酸っぱ過ぎず塩辛ずで梅は本場和歌山紀州南高の梅‼️
(8代将軍吉宗の故郷&水戸の梅公園‼️)
仕掛人藤枝梅安の好物は湯豆腐鍋‼️

さしすせそ
(さ砂糖)(し塩)(せ·せおゆ⇒醤油)(す酢)(そ味噌󠄀)

川や池に行けばカニと魚が多く捕れて貴重な動物性タンパク質等を摂取出来る‼️",https://yt3.ggpht.com/ytc/AIdro_mcsFS8iJesHpRHhJuDzstf9Vh-gXcrR6dD0UrJ6KQ=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgzY4nBC1D6vzLNwMUl4AaABAg,Thread,,@seorituhime.,2025-11-09T10:34:11Z,0,語彙の豊かさは即、こころの豊かさに通じ、性的(種族保存的)快感を越えて個的存在を豊かに深く支えてくれるのだ。AV男優女優が「幸福の完成形」ではなく仏道行者などに敬意は向く必然がそこにはある。人生は心が主役、身体は脇役なのだ。,https://yt3.ggpht.com/4KOJnJkrOz5IgQkAKkUiu2sEJwZSOakktSZnDD2RzRNHZrMUl-KQSedsG2-O2lvU21sXhn8=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
Ugyn5uVl_MELUAZ_4bh4AaABAg,Thread,,@Kankichu,2025-11-07T12:16:56Z,7,なんかところどころ文章構成がAI臭いな。,https://yt3.ggpht.com/ytc/AIdro_neKk4AhgNYgsZuPEY46fnhcPjnjWQHjWONG-JCJR8Z=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
